Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C79"	"CC0603KRX7R9BB104"	"C0603"	"79.275mm"	"31.2mm"	"79.275mm"	"31.2mm"	"78.575mm"	"31.2mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C80"	"CC0603KRX7R9BB104"	"C0603"	"87.2mm"	"31.175mm"	"87.2mm"	"31.175mm"	"86.5mm"	"31.175mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"CARD1"	"TF PUSH"	"TF-SMD_TF-PUSH"	"9.827mm"	"68.38mm"	"9.827mm"	"68.38mm"	"15.127mm"	"66.13mm"	"13"	"T"	"270"	"Yes"	"TF PUSH"	"TF PUSH"
"MH1"	"MH_7.5x3.5mm"	"MH_7.5x3.5m"	"5mm"	"5mm"	"2.529mm"	"5mm"	"5mm"	"5mm"	"1"	"T"	"0"	"No"	"MH_7.5x3.5mm"	"MH_7.5x3.5mm"
"MH2"	"MH_7.5x3.5mm"	"MH_7.5x3.5m"	"145mm"	"5mm"	"145mm"	"5mm"	"145mm"	"5mm"	"1"	"T"	"0"	"No"	"MH_7.5x3.5mm"	"MH_7.5x3.5mm"
"MH3"	"MH_7.5x3.5mm"	"MH_7.5x3.5m"	"5mm"	"95mm"	"5mm"	"95mm"	"5mm"	"95mm"	"1"	"T"	"0"	"No"	"MH_7.5x3.5mm"	"MH_7.5x3.5mm"
"MH4"	"MH_7.5x3.5mm"	"MH_7.5x3.5m"	"145mm"	"95mm"	"145mm"	"95mm"	"145mm"	"95mm"	"1"	"T"	"0"	"No"	"MH_7.5x3.5mm"	"MH_7.5x3.5mm"
"R36"	"0603WAF1002T5E"	"R0603"	"33.132mm"	"43.504mm"	"33.132mm"	"43.504mm"	"32.378mm"	"43.504mm"	"2"	"B"	"0"	"Yes"	"10kΩ"	"10kΩ"
"D1"	"SS54_C22452"	"SMA_L4.4-W2.8-LS5.4-R-RD"	"123.65mm"	"57.725mm"	"123.65mm"	"57.725mm"	"123.65mm"	"60.229mm"	"2"	"T"	"90"	"Yes"	"SS54"	"SS54"
"D2"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"17.925mm"	"55.175mm"	"17.925mm"	"55.175mm"	"20.125mm"	"55.175mm"	"2"	"T"	"180"	"Yes"	"SS34"	"SS34"
"D3"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"129.65mm"	"72.15mm"	"129.65mm"	"72.15mm"	"127.45mm"	"72.15mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D4"	"PSM712-LF-T7_C32677"	"SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"	"31mm"	"13.05mm"	"31mm"	"13.05mm"	"30.05mm"	"11.949mm"	"3"	"T"	"270"	"Yes"	"PSM712-LF-T7"	"PSM712-LF-T7"
"D5"	"PSM712-LF-T7_C32677"	"SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"	"44.925mm"	"13.025mm"	"44.925mm"	"13.025mm"	"43.975mm"	"11.924mm"	"3"	"T"	"270"	"Yes"	"PSM712-LF-T7"	"PSM712-LF-T7"
"D6"	"PSM712-LF-T7_C32677"	"SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"	"51.875mm"	"13.05mm"	"51.875mm"	"13.05mm"	"50.925mm"	"11.949mm"	"3"	"T"	"270"	"Yes"	"PSM712-LF-T7"	"PSM712-LF-T7"
"H1"	"PZ254V-11-04P"	"HDR-TH_4P-P2.54-V-M"	"69.375mm"	"62.575mm"	"69.375mm"	"62.575mm"	"65.565mm"	"62.575mm"	"4"	"T"	"0"	"No"	"PZ254V-11-04P"	"PZ254V-11-04P"
"L1"	"CYA1040-22UH"	"IND-SMD_L11.6-W10.1"	"119.906mm"	"67.481mm"	"119.906mm"	"67.481mm"	"119.906mm"	"72.281mm"	"2"	"T"	"270"	"Yes"	"22uH"	"22uH"
