PCB8_CNC_Controller_RP2350_v1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created:11/05/26 05:52:16,,,,BOM Export Date: 11/05/26 05:56:59,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$2205.41
",,,,Website:https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C6186,AMS,AMS1117-3.3,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,-,1,,,AMS1117-3.3,Advanced Monolithic Systems,5,0.2139,1.07,C6186,SOT-223,5,5,2500,1175060,In Stock,,"3.3V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Exact Matches,https://www.lcsc.com/product-detail/C6186.html
C5369487,YLPTEC(??),B2424S-2WR3,,PWRM-TH_BXXXXS-2WR3,,-,1,,,B2424S-2WR3,YLPTEC,1,1.5259,1.53,C5369487,"SIP,19.5x7mm",1,1,25,968,In Stock,,Isolated Module DC DC Converter 1 Output 24V 83mA 21.6V~26.4V Input,Exact Matches,https://www.lcsc.com/product-detail/C5369487.html
C42415655,Raspberry Pi(???),RP2350B,,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,,-,1,,,RP2350B,Raspberry Pi,1,-,-,C42415655,QFN-80-EP(10x10),1,1,2500,2124,discountinued,,QFN-80-EP(10x10) Microcontrollers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C42415655.html
C32843,WIZNET,W5500,,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,-,1,,,W5500,WIZNET,1,2.7652,2.77,C32843,LQFP-48(7x7),1,1,2500,22627,In Stock,,SPI LQFP-48(7x7) Interface Controllers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C32843.html
C97521,Winbond(??),W25Q128JVSIQ,,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,-,1,,,W25Q128JVSIQ,Winbond,1,2.5968,2.60,C97521,SOIC-8-208mil,1,1,2000,0,Backordered,,2.7V~3.6V 128Mbit 133MHz SPI SOIC-8-208mil Memory (ICs) RoHS,Exact Matches,https://www.lcsc.com/product-detail/C97521.html
C5605,Nexperia(??),"74HC14D,653",,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,,-,3,,,"74HC14D,653",Nexperia,30000,0.0722,2166.00,C5605,-,30000,5,2500,30000,In Stock,,"Schmitt trigger 2V~6V 21ns@6V,50pF 6 2uA 1 SOIC-14 Gates and Inverters RoHS",Exact Matches,
C115450,LITEON(??),LTV-217-B-G,,SOP-4_L4.4-W2.8-P1.27-LS7.0-BR,,-,10,,,LTV-217-B-G,LITEON,10,0.0678,0.68,C115450,SOP-4-175mil,10,10,3000,263950,In Stock,,Phototransistor Output 3.75kVrms 1 Channel SOP-4-175mil,Exact Matches,https://www.lcsc.com/product-detail/C115450.html
C8963,MaxLinear(??),SP3485EN-L/TR,,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,-,3,,,SP3485EN-L/TR,MaxLinear,4,0.3049,1.22,C8963,SOIC-8,2,2,2500,79990,In Stock,,"3.3V Transceiver 10Mbps 32 Half-Duplex SOIC-8 Drivers, Receivers, Transceivers RoHS",Exact Matches,https://www.lcsc.com/product-detail/C8963.html
C165948,????,TYPE-C-31-M-12,,USB-C_SMD-TYPE-C-31-M-12_1,,-,1,,,TYPE-C-31-M-12,Korean Hroparts Elec,5,0.1708,0.85,C165948,SMD,5,5,1000,368740,In Stock,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C165948.html
C9006,YXC(????),X322525MOB4SI,,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,-,1,,,X322525MOB4SI,YXC Crystal Oscillators,10,0.0733,0.73,C9006,SMD3225-4P,10,10,3000,264200,In Stock,,Crystal 25MHz ±10ppm 12pF SMD3225-4P,Exact Matches,https://www.lcsc.com/product-detail/C9006.html
C9002,YXC(????),X322512MSB4SI,,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,-,1,,,X322512MSB4SI,YXC Crystal Oscillators,10,0.0740,0.74,C9002,SMD3225-4P,10,10,3000,412490,In Stock,,Crystal 12MHz ±10ppm 20pF SMD3225-4P,Exact Matches,https://www.lcsc.com/product-detail/C9002.html
C441172,KEFA(??),KF2EDGR-3.5-3P,,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,,-,11,,,KF2EDGR-3.5-3P,Cixi Kefa Elec,15,0.0744,1.12,C441172,"Through Hole,Right Angle,P=3.5mm",5,5,200,9280,In Stock,,3 Position Board Side/Socket - Closed 3.5mm Pitch Right-Angle Pin,Exact Matches,https://www.lcsc.com/product-detail/C441172.html
